file_name,dataset,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
2020-03-29_CI_Mobility_Report_en.pdf,Retail & recreation,0.03767313019390608,0.006624872430383255,0.022463916022744387,-0.0018195072167948593,0.022650532147543485,-0.009704038489575677,-0.02843563201632881,0.008934246974778567,-0.025986295378334502,0.0025892987315932967,-0.02612625747193482,0.0075579530543814005,-0.019594693103950452,0.009237498177577267,0.05918063857705293,0.013949555328765451,0.044671234873888854,0.0563580696894591,0.05673130193905862,0.01322641784516712,0.02346697769354203,0.06424260096223991,0.02953200174952666,0.05985712202945115,0.055681586237060876,0.03956261845750176,-0.008654322787577929,-0.029975215045924354,0.010870389269573028,0.000256597171599921,0.016842105263158776,-0.06044029741944916,-0.07499635515381202,-0.11476891675171226,-0.15897361131360271,-0.19438402099431357,-0.1613529669047962,-0.22701851581863206,-0.24766292462458026,-0.23872867764980302,-0.3086164163872279,-0.3363988919667592,-0.3460329494095354
2020-03-29_CI_Mobility_Report_en.pdf,Grocery & pharmacy,0.0244233853331382,0.004595422073188573,0.026336200612334593,0.0,0.008840938912378339,-0.011850123924769935,-0.04845021140107881,0.007184720804781866,-0.030115177139524624,-0.0034290712931912245,-0.022440589007143633,-0.0008864265927980381,0.0,-0.003009185012392921,0.04905671380667754,0.019641347135150526,0.033171016183116325,0.04961656218107616,0.052112552850269236,0.03380084560431577,0.005505175681586001,0.03960927248870047,0.006718180492783456,0.05215920688146935,0.06074354862224776,0.03137483598192086,-0.003219128152792736,-0.06890800408222789,0.003685668464791145,0.031678087184720885,0.11726490742090648,0.030021869077124414,0.005831753899985418,-0.027922437673130244,-0.07299023181221793,-0.08787286776498018,-0.05967050590465063,-0.07945181513340148,-0.10245225251494373,-0.08493366379938809,-0.12666569470768343,-0.17492928998396315,-0.2090100597754769
2020-03-29_CI_Mobility_Report_en.pdf,Parks,0.04443666899930025,0.06967576393748533,0.11091672498250518,0.07770002332633585,0.06988570095638,0.06738978306508073,0.07410776766969894,0.05871238628411469,0.031350594821553404,0.0985770935386051,0.054047119197574246,0.05491019360858442,0.0736645672964781,0.09591789129927679,0.09680429204571978,0.09407511080009369,0.07746675997200837,0.09458829017961297,0.08152554233729895,0.10970375554000476,0.09155586657336162,0.08570095637975292,0.1027758339164919,0.1302775833916494,0.11147655703289008,0.06820620480522527,0.050151621180312723,0.011616515045486135,0.02379286214135784,0.06097504082108713,0.07746675997200837,0.008444133426638556,-0.01665500349895029,-0.040751108000932734,-0.07557732680195965,-0.12698857009563774,-0.06969909027291814,-0.1003498950314904,-0.14865873571261937,-0.14809890366223447,-0.18339164917191503,-0.18896664334033128,-0.20951714485654307
2020-03-29_CI_Mobility_Report_en.pdf,Transit stations,0.05402536812946572,0.015022598046362589,0.012293337221167648,0.0027992418719931115,0.04359819215629172,0.013343052923166721,-0.012899839626767702,0.05659133984545698,-0.007791223210381931,0.0005598483743986223,-0.0038956116051909657,0.02409680711474015,-0.006928123633183282,0.007231374835980658,0.035387082665110155,0.03396413471351553,0.0569179180638564,0.06816153958303027,0.11182971278612015,0.062399766729843015,0.030465082373524806,0.07781892404140585,0.06400933080624072,0.07590610876221077,0.10112261262574816,0.07511299023181295,0.017075375419156654,-0.0438781163434897,0.008374398600379944,0.01838168829275432,-0.002216066481995099,-0.028482286047528914,-0.061350051027846596,-0.11733488846770616,-0.1744860766875644,-0.18262720513194516,-0.1869660300335325,-0.21372211692666676,-0.25195509549497147,-0.23737571074500788,-0.2981192593672544,-0.300965155270449,-0.33310978276716696
2020-03-29_CI_Mobility_Report_en.pdf,Workplaces,0.007767896194779864,-0.023863536958740866,-0.018428342323955696,-0.018941536667152883,-0.034523983087914045,-0.028855518297129668,0.0004665403119984084,0.0058317538999854085,0.02101764105554633,0.023606939787139618,0.026476162705933542,0.020154541478347682,0.019034844729550443,0.027245954220731977,0.04590756670068422,0.050759585945471385,0.04709724449628229,0.03972590756670001,0.03051173640472349,0.02516984983233588,0.005155270447587186,0.01982796325994827,0.041078874471496454,0.05778101764105485,0.04868348155707793,0.02484327161393646,0.01609564076395835,-0.01600233270156079,-0.0015629100451962593,0.0318180492783185,-0.040215774894300456,-0.05939058171745255,-0.0810847062253971,-0.07907858288380182,-0.05054964280507422,-0.03270447587111919,-0.1175448316081056,-0.16128298585799616,-0.1782883802303546,-0.21397871409826466,-0.21659133984545997,-0.13466686105846362,-0.09067210963697447
2020-03-29_CI_Mobility_Report_en.pdf,Residential,-0.0037789765271887114,0.012409972299169902,0.009680711473977614,0.013576323079165927,0.016772124216359277,0.015279195217963835,0.004035573698789958,-0.0035223793555901163,0.0010497157019990742,-2.33270155993901e-05,0.0013762939203984916,0.004175535792388951,0.003662341449191761,-0.013972882344363514,-0.009960635661175598,-0.004292170870388553,-0.0041055547455881285,-0.01061379209797178,-0.00034990523399880744,-0.007138066773580445,-0.017611896777955886,-0.010333867910773797,-0.00685814258638246,-0.01143023764397165,-0.008724303834378751,0.0003965592652002396,-0.0018195072167948593,0.0020527773727967162,-0.004198862807988341,-0.009890654614374775,0.023840209943141552,0.04705059046508366,0.06349613646304086,0.07548622248141114,0.07487972007581374,0.09239830879136941,0.09533751275696152,0.12878845312727985,0.14630704184283552,0.16039655926519866,0.17257326140836934,0.1429712786120432,0.14287797054964296
2020-03-29_BW_Mobility_Report_en.pdf,Retail & recreation,-0.05218253389706882,-0.09676046070855746,-0.07473975798221343,0.011943431987170166,0.06622539728823448,0.0941711619769655,0.10193905817174538,0.03622685522670941,-0.0514360693978711,0.012036740049570378,-0.006811488555182353,0.07385333138941538,0.12997813092287527,0.13709287068085765,0.10651115322933458,0.02617291150313493,0.07819215629100537,0.019641347135151886,0.028878845312727826,0.038909462020702924,0.07996500947660012,0.0042688438547891635,-0.0618865723866445,-0.06270301793264305,-0.06484910336783732,-0.0696078145502256,-0.06459250619623873,-0.06678524566263311,-0.05962385187345062,-0.16650823735238338,-0.1486164163872282,-0.11091995917772272,-0.09167517130777109,0.02491325266073869,0.01231666423676969,-0.12566263303688602,-0.09153520921417076,-0.030068523108324568,0.034990523399912564,0.11714827234290706,0.10973028138212598,-0.020201195509549182,-0.12139378918209684
2020-03-29_BW_Mobility_Report_en.pdf,Grocery & pharmacy,-0.06265636390144416,-0.12927832045487744,-0.11446566554891337,-0.04047237206589912,0.0350138504155119,0.10940370316372638,0.06706516984983231,-0.021694124507945913,-0.09697040384895712,-0.05255576614666826,-0.04240851436069358,0.027222627205131307,0.09596734217815948,0.11178305875491987,0.10119259367254617,-0.01140691062837224,0.009377460271176245,-0.036623414491908264,-0.03307770812071744,0.00958740341157606,-0.030488409389124147,-0.021087622102347187,-0.10646449919813429,-0.12195363755649527,-0.12717888905088195,-0.14007872867764964,-0.044158040530690265,-0.12195363755649527,-0.10604461291733466,-0.18062108179034825,-0.17261991543956917,-0.13874908878845257,-0.07394663945181547,0.08635661175098402,0.07518297127861231,0.010240559848373567,-0.015209214171161663,0.06566554891383576,0.13485347718326293,0.2859892112552847,0.34932205860912574,0.08129464936579704,-0.016888759294357528
2020-03-29_BW_Mobility_Report_en.pdf,Parks,-0.051038021926755044,-0.08889666433403332,-0.04278049918357835,-0.005108467459761935,-0.030300909727082038,0.0,-0.02439934686260771,-0.025519010963377522,-0.07779332866806646,-0.07487753673897851,-0.07653370655470042,-0.05556333100069993,-0.05418707721017047,-0.0195241427571726,-0.01021693491952387,-0.08889666433403332,-0.010706787963610994,-0.04082108700723118,-0.03536272451597834,-0.009867039888033636,0.0,-0.025519010963377522,-0.061114998833683355,-0.03743876836948892,-0.08675064147422429,-0.11616515045486334,-0.13300676463727548,-0.10732446932586892,-0.08164217401446236,-0.17777000233263382,-0.13904828551434537,-0.15817588056916276,-0.13132726848612075,-0.039421506881268914,0.04877536738978327,-0.025519010963377522,-0.05556333100069993,-0.032097037555400165,0.02041054350361559,0.005038488453464153,0.04924189409843692,0.04877536738978327,0.06631677163517655
2020-03-29_BW_Mobility_Report_en.pdf,Transit stations,-0.11465228167371266,-0.12885843417407802,-0.11880449045050222,-0.06466248724303955,0.03517713952471299,0.09953637556494986,-0.023513631724742134,0.00636827525878466,-0.05668464790785984,-0.09899985420615327,0.004991981338386168,-0.005015308353988211,0.11850123924770219,0.05295232541186726,0.07644263012100735,0.02062108179034881,0.05941390873305213,-0.06466248724303955,-0.010030616707976421,0.023700247849539908,-0.035293774602712595,-0.0636827525878413,-0.077305729698206,-0.1386091266948538,-0.16417553579239003,-0.12060067065170034,-0.0947776643825629,-0.17646887301356032,-0.17196675900277195,-0.21649803178306049,-0.2128590173494681,-0.19900277008310419,-0.1708470622539747,-0.05687126403265762,-0.07646595713660939,-0.20380813529668995,-0.16494532730718844,-0.11385916314331483,-0.04476454293628774,0.02010788744714897,0.0331943431987171,-0.035293774602712595,-0.19743986003790792
